# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.0 Build 231 07/10/2008 Service Pack 1 SJ Web Edition
# File: C:\Users\dirk\Documents\FH\Lehre\Digitaltechnik\Praktikum\altera\Projects\introtutorial\light.csv
# Generated on: Tue Sep 02 19:25:20 2008

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Location,I/O Bank,I/O Standard,General Function,Special Function,Reserved,Enabled
,PIN_U3,1,3.3-V LVTTL,Row I/O,LVDS17p,,Yes
,PIN_U4,1,3.3-V LVTTL,Row I/O,LVDS17n,,Yes
,PIN_V1,1,3.3-V LVTTL,Row I/O,LVDS16p,,Yes
,PIN_V2,1,3.3-V LVTTL,Row I/O,LVDS16n,,Yes
,PIN_T7,1,3.3-V LVTTL,Row I/O,LVDS15p,,Yes
,PIN_T6,1,3.3-V LVTTL,Row I/O,LVDS15n,,Yes
,PIN_V4,1,3.3-V LVTTL,Row I/O,LVDS14p,,Yes
,PIN_V3,1,3.3-V LVTTL,Row I/O,LVDS14n,,Yes
,PIN_W2,1,3.3-V LVTTL,Row I/O,LVDS13p,,Yes
,PIN_W1,1,3.3-V LVTTL,Row I/O,LVDS13n,,Yes
,PIN_U6,1,3.3-V LVTTL,Row I/O,LVDS12p,,Yes
,PIN_U7,1,3.3-V LVTTL,Row I/O,LVDS12n,,Yes
,PIN_U5,1,3.3-V LVTTL,Row I/O,,,Yes
,PIN_W4,1,3.3-V LVTTL,Row I/O,"LVDS11p, CDPCLK1/DQS3L/CQ3L#",,Yes
,PIN_W3,1,3.3-V LVTTL,Row I/O,LVDS11n,,Yes
,PIN_Y1,1,3.3-V LVTTL,Row I/O,,,Yes
,PIN_V5,1,3.3-V LVTTL,Row I/O,LVDS10p,,Yes
,PIN_V6,1,3.3-V LVTTL,Row I/O,LVDS10n,,Yes
,PIN_AA2,1,3.3-V LVTTL,Row I/O,LVDS9p,,Yes
,PIN_AA1,1,3.3-V LVTTL,Row I/O,LVDS9n,,Yes
,PIN_Y3,1,3.3-V LVTTL,Row I/O,LVDS8p,,Yes
,PIN_Y4,1,3.3-V LVTTL,Row I/O,LVDS8n,,Yes
,PIN_R8,1,3.3-V LVTTL,Row I/O,LVDS7p,,Yes
,PIN_T8,1,3.3-V LVTTL,Row I/O,LVDS7n,,Yes
,PIN_V7,1,3.3-V LVTTL,Row I/O,,,Yes
,PIN_W6,1,3.3-V LVTTL,Row I/O,VREFB1N1,,Yes
,PIN_AB2,1,3.3-V LVTTL,Row I/O,LVDS6p,,Yes
,PIN_AB1,1,3.3-V LVTTL,Row I/O,LVDS6n,,Yes
,PIN_AA4,1,3.3-V LVTTL,Row I/O,LVDS5p,,Yes
,PIN_AA3,1,3.3-V LVTTL,Row I/O,LVDS5n,,Yes
,PIN_AC2,1,3.3-V LVTTL,Row I/O,LVDS4p,,Yes
,PIN_AC1,1,3.3-V LVTTL,Row I/O,LVDS4n,,Yes
,PIN_AA5,1,3.3-V LVTTL,Row I/O,LVDS3p,,Yes
,PIN_Y5,1,3.3-V LVTTL,Row I/O,LVDS3n,,Yes
,PIN_AD2,1,3.3-V LVTTL,Row I/O,LVDS2p,,Yes
,PIN_AD3,1,3.3-V LVTTL,Row I/O,LVDS2n,,Yes
,PIN_AE2,1,3.3-V LVTTL,Row I/O,LVDS1p,,Yes
,PIN_AE3,1,3.3-V LVTTL,Row I/O,LVDS1n,,Yes
,PIN_AB3,1,3.3-V LVTTL,Row I/O,LVDS0p,,Yes
,PIN_AB4,1,3.3-V LVTTL,Row I/O,LVDS0n,,Yes
,PIN_AC3,1,3.3-V LVTTL,Row I/O,,,Yes
,PIN_AA7,1,3.3-V LVTTL,Row I/O,PLL1_OUTp,,Yes
,PIN_AA6,1,3.3-V LVTTL,Row I/O,PLL1_OUTn,,Yes
,PIN_W7,,3.3-V LVTTL,GND_PLL1,,,Yes
,PIN_Y7,,3.3-V LVTTL,VCCD_PLL1,,,Yes
,PIN_Y6,,3.3-V LVTTL,GND_PLL1,,,Yes
,PIN_AA8,,3.3-V LVTTL,VCCA_PLL1,,,Yes
,PIN_Y8,,3.3-V LVTTL,GNDA_PLL1,,,Yes
,PIN_AE4,8,3.3-V LVTTL,Column I/O,LVDS200n/DEV_OE,,Yes
,PIN_AF4,8,3.3-V LVTTL,Column I/O,LVDS200p,,Yes
